family_id,model,series,configuration,profile_configuration,training_fraction,training_rows,test_poisson_deviance,manuscript_deviance_5dp,parameters_trainable,parameters_total,parameters_non_trainable,parameters_embedding_trainable,parameters_non_embedding_trainable,flops_train_per_epoch_one_seed,prediction_ensemble_seeds,source_table
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,0.25,1010056,0.291888496,0.29189,190836,190836,0,125730,65106,12114126176256,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,0.5,2018631,0.291462443,0.29146,190836,190836,0,125730,65106,24179207307264,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,0.75,3026912,0.291097144,0.29110,190836,190836,0,125730,65106,36244288438272,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (tiny),main_sweep_size_ladder,transformer_tokenmoe_ssl_tiny,transformer_tokenmoe_tiny_selfsup,1.0,4034782,0.290750423,0.29075,190836,190836,0,125730,65106,48358414614528,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,0.05,201985,0.29359336,0.29359,465512,465512,0,349634,115878,6903584563200,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,0.1,404283,0.29291145,0.29291,465512,465512,0,349634,115878,13669097435136,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,0.25,1010056,0.291903975,0.29190,465512,465512,0,349634,115878,34103707742208,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,0.5,2018631,0.2914186,0.29142,465512,465512,0,349634,115878,68069343793152,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,0.75,3026912,0.29100676,0.29101,465512,465512,0,349634,115878,102034979844096,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (small),main_sweep_size_ladder,transformer_tokenmoe_ssl_small,transformer_tokenmoe_small_selfsup,1.0,4034782,0.290682798,0.29068,465512,465512,0,349634,115878,136138687586304,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,0.05,201985,0.293366497,0.29337,1055612,1055612,0,746946,308666,15595225497600,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,0.1,404283,0.292630709,0.29263,1055612,1055612,0,746946,308666,30878546485248,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,0.25,1010056,0.291861991,0.29186,1055612,1055612,0,746946,308666,77040413958144,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,0.5,2018631,0.291291058,0.29129,1055612,1055612,0,746946,308666,153768923406336,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,0.75,3026912,0.290868456,0.29087,1055612,1055612,0,746946,308666,230497432854528,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (medium),main_sweep_size_ladder,transformer_tokenmoe_ssl_medium,transformer_tokenmoe_medium_selfsup,1.0,4034782,0.290619152,0.29062,1055612,1055612,0,746946,308666,307537846812672,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,0.05,201985,0.293320811,0.29332,1257212,1257212,0,933682,323530,18947814604800,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,0.1,404283,0.292745514,0.29275,1257212,1257212,0,933682,323530,37516672917504,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,0.25,1010056,0.291924917,0.29192,1257212,1257212,0,933682,323530,93602204147712,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,0.5,2018631,0.29140389,0.29140,1257212,1257212,0,933682,323530,186825452003328,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,0.75,3026912,0.29087468,0.29087,1257212,1257212,0,933682,323530,280048699858944,5,tab:size_scaling_transformer_fixes
ssl,TokenMoE+SSL (large),main_sweep_size_ladder,transformer_tokenmoe_ssl_large,transformer_tokenmoe_large_selfsup,1.0,4034782,0.290361126,0.29036,1257212,1257212,0,933682,323530,373650904006656,5,tab:size_scaling_transformer_fixes
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,0.05,201985,0.293886784,0.29389,107104,107104,0,8256,98848,2398747238400,5,tab:size_scaling_tabm
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,0.1,404283,0.292516491,0.29252,107104,107104,0,8256,98848,4749519532032,5,tab:size_scaling_tabm
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,0.25,1010056,0.29163051,0.29163,107104,107104,0,8256,98848,11849811357696,5,tab:size_scaling_tabm
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,0.5,2018631,0.291206135,0.29121,107104,107104,0,8256,98848,23651647770624,5,tab:size_scaling_tabm
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,0.75,3026912,0.290803914,0.29080,107104,107104,0,8256,98848,35453484183552,5,tab:size_scaling_tabm
tabm,TabM (small),main_sweep_size_ladder,tabm_small,tabm_small,1.0,4034782,0.290656577,0.29066,107104,107104,0,8256,98848,47303295541248,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,0.05,201985,0.294426412,0.29443,340128,340128,0,16512,323616,9631719628800,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,0.1,404283,0.293247692,0.29325,340128,340128,0,16512,323616,19070804865024,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,0.25,1010056,0.291856661,0.29186,340128,340128,0,16512,323616,47580694966272,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,0.5,2018631,0.291075531,0.29108,340128,340128,0,16512,323616,94968755539968,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,0.75,3026912,0.29063445,0.29063,340128,340128,0,16512,323616,142356816113664,5,tab:size_scaling_tabm
tabm,TabM (medium),main_sweep_size_ladder,tabm_medium,tabm_medium,1.0,4034782,0.290481633,0.29048,340128,340128,0,16512,323616,189937511079936,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,0.05,201985,0.296813419,0.29681,1327424,1327424,0,33024,1294400,76859131699200,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,0.1,404283,0.295453361,0.29545,1327424,1327424,0,33024,1294400,152181080764416,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,0.25,1010056,0.292633567,0.29263,1327424,1327424,0,33024,1294400,379684110594048,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,0.5,2018631,0.291036934,0.29104,1327424,1327424,0,33024,1294400,757831038554112,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,0.75,3026912,0.290279714,0.29028,1327424,1327424,0,33024,1294400,1135977966514176,5,tab:size_scaling_tabm
tabm,TabM (large),main_sweep_size_ladder,tabm_large,tabm_large,1.0,4034782,0.289842523,0.28984,1327424,1327424,0,33024,1294400,1515662077108224,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,0.05,201985,0.295987234,0.29599,2961888,2961888,0,49536,2912352,259181181542400,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,0.1,404283,0.29566213,0.29566,2961888,2961888,0,49536,2912352,513178739453952,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,0.25,1010056,0.292487275,0.29249,2961888,2961888,0,49536,2912352,1280355036819456,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,0.5,2018631,0.291066495,0.29107,2961888,2961888,0,49536,2912352,2555526450008064,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,0.75,3026912,0.290206804,0.29021,2961888,2961888,0,49536,2912352,3830697863196672,5,tab:size_scaling_tabm
tabm,TabM (xlarge),main_sweep_size_ladder,tabm_xlarge,tabm_xlarge,1.0,4034782,0.289835955,0.28984,2961888,2961888,0,49536,2912352,5111052900016128,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,0.05,201985,0.293796158,0.29380,99008,99008,0,8256,90752,2395601510400,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,0.1,404283,0.292670319,0.29267,99008,99008,0,8256,90752,4743290990592,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,0.25,1010056,0.291669249,0.29167,99008,99008,0,8256,90752,11834271461376,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,0.5,2018631,0.291175108,0.29118,99008,99008,0,8256,90752,23620630892544,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,0.75,3026912,0.290967684,0.29097,99008,99008,0,8256,90752,35406990323712,5,tab:size_scaling_tabm
tabm,TabM-mini (small),main_sweep_size_ladder,tabm_mini_small,tabm_mini_small,1.0,4034782,0.290661656,0.29066,99008,99008,0,8256,90752,47241261785088,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,0.05,201985,0.294302736,0.29430,319872,319872,0,16512,303360,9623540736000,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,0.1,404283,0.293230968,0.29323,319872,319872,0,16512,303360,19054610657280,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,0.25,1010056,0.291837985,0.29184,319872,319872,0,16512,303360,47540291235840,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,0.5,2018631,0.291100907,0.29110,319872,319872,0,16512,303360,94888111656960,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,0.75,3026912,0.290660899,0.29066,319872,319872,0,16512,303360,142235932078080,5,tab:size_scaling_tabm
tabm,TabM-mini (medium),main_sweep_size_ladder,tabm_mini_medium,tabm_mini_medium,1.0,4034782,0.290344991,0.29034,319872,319872,0,16512,303360,189776223313920,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,0.05,201985,0.296294664,0.29629,1245952,1245952,0,33024,1212928,76826416128000,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,0.1,404283,0.295148059,0.29515,1245952,1245952,0,33024,1212928,152116303933440,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,0.25,1010056,0.292519553,0.29252,1245952,1245952,0,33024,1212928,379522495672320,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,0.5,2018631,0.291044175,0.29104,1245952,1245952,0,33024,1212928,757508463022080,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,0.75,3026912,0.290239398,0.29024,1245952,1245952,0,33024,1212928,1135494430371840,5,tab:size_scaling_tabm
tabm,TabM-mini (large),main_sweep_size_ladder,tabm_mini_large,tabm_mini_large,1.0,4034782,0.289891394,0.28989,1245952,1245952,0,33024,1212928,1515016926044160,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,0.05,201985,0.296100199,0.29610,8246272,8246272,0,132096,8114176,297165798336000,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,0.1,404283,0.295203427,0.29520,8246272,8246272,0,132096,8114176,594331596672000,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,0.25,1010056,0.292626431,0.29263,8246272,8246272,0,132096,8114176,1484324354726400,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,0.5,2018631,0.291156225,0.29116,8246272,8246272,0,132096,8114176,2966391754022400,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,0.75,3026912,0.290460204,0.29046,8246272,8246272,0,132096,8114176,4447706834841600,5,tab:size_scaling_tabm
tabm,TabM-mini (xlarge),main_sweep_size_ladder,tabm_mini_xlarge,tabm_mini_xlarge,1.0,4034782,0.289856367,0.28986,8246272,8246272,0,132096,8114176,5929021915660800,5,tab:size_scaling_tabm
ssl,TokenMoE + SSL (xlarge),full_data_only_extension,transformer_tokenmoessl_xlarge,transformer_tokenmoessl_xlarge,1.0,4034782,0.290273059,0.29027,4082380,4082380,0,3013250,1069130,1263763747995648,5,tab:size_scaling_transformer_fixes
tabm,TabM-mini (xlarge-2),full_data_only_extension,tabm_mini_xlarge_2,tabm_mini_xlarge_2,1.0,4034782,0.289032431,0.28903,8246272,8246272,0,132096,8114176,5929021915660800,5,tab:size_scaling_tabm
tabm,TabM-mini (gigantic),full_data_only_extension,tabm_mini_xlarge3,tabm_mini_xlarge3,1.0,4034782,0.288854567,0.28885,31783936,31783936,0,264192,31519744,23705605598740992,5,tab:size_scaling_tabm
